NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
3,Unidade da Federação,1006,Hectares,17188641,51,Mato Grosso,2020,2020,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,17187508,51,Mato Grosso,2020,2020,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,51,Mato Grosso,2020,2020,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,51,Mato Grosso,2020,2020,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,79209570,51,Mato Grosso,2020,2020,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,17968089,51,Mato Grosso,2021,2021,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,17954671,51,Mato Grosso,2021,2021,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,51,Mato Grosso,2021,2021,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,51,Mato Grosso,2021,2021,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,151701924,51,Mato Grosso,2021,2021,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,19166183,51,Mato Grosso,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,19158124,51,Mato Grosso,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,51,Mato Grosso,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,51,Mato Grosso,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,174811463,51,Mato Grosso,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,21260667,51,Mato Grosso,2023,2023,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,21256358,51,Mato Grosso,2023,2023,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,51,Mato Grosso,2023,2023,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,51,Mato Grosso,2023,2023,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,153504759,51,Mato Grosso,2023,2023,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,21606309,51,Mato Grosso,2024,2024,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,21568600,51,Mato Grosso,2024,2024,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,51,Mato Grosso,2024,2024,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,51,Mato Grosso,2024,2024,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,120769230,51,Mato Grosso,2024,2024,215,Valor da produção,0,Total
